Country,Measure,Economic Indicators,Year,Value,Unit
K02000001,National currency (nominal),Renewables,2016,122.7880,Millions of GBP
K02000001,National currency (nominal),Nuclear,2016,117.5730,Millions of GBP
K02000001,National currency (nominal),Hydrogen and fuel cells,2016,13.4660,Millions of GBP
K02000001,National currency (nominal),Other power and storage technologies,2016,55.3970,Millions of GBP
K02000001,National currency (nominal),Other cross-cutting technologies/research,2016,42.5740,Millions of GBP
K02000001,National currency (nominal),Unallocated,2016,0.0000,Millions of GBP
K02000001,National currency (nominal),Total Budget,2016,484.5690,Millions of GBP
K02000001,Percentage of GDP,Total Budget,2016,0.0240,Percent
K02000001,National currency (nominal),Energy efficiency,2017,175.7200,Millions of GBP
K02000001,National currency (nominal),Fossil fuels,2017,33.6600,Millions of GBP
K02000001,National currency (nominal),Renewables,2017,101.3900,Millions of GBP
K02000001,National currency (nominal),Nuclear,2017,157.1200,Millions of GBP
K02000001,National currency (nominal),Hydrogen and fuel cells,2017,10.6900,Millions of GBP
K02000001,National currency (nominal),Other power and storage technologies,2017,71.4400,Millions of GBP
K02000001,National currency (nominal),Other cross-cutting technologies/research,2017,66.9400,Millions of GBP
K02000001,National currency (nominal),Unallocated,2017,37.2800,Millions of GBP
K02000001,National currency (nominal),Total Budget,2017,654.2400,Millions of GBP
K02000001,Percentage of GDP,Total Budget,2017,0.0312,Percent
K02000001,National currency (nominal),Energy efficiency,2018,198.6270,Millions of GBP
K02000001,National currency (nominal),Fossil fuels,2018,19.5730,Millions of GBP
K02000001,National currency (nominal),Renewables,2018,126.0560,Millions of GBP
K02000001,National currency (nominal),Nuclear,2018,200.4760,Millions of GBP
K02000001,National currency (nominal),Hydrogen and fuel cells,2018,17.8350,Millions of GBP
K02000001,National currency (nominal),Other power and storage technologies,2018,61.3470,Millions of GBP
K02000001,National currency (nominal),Other cross-cutting technologies/research,2018,114.7000,Millions of GBP
K02000001,National currency (nominal),Unallocated,2018,2.3770,Millions of GBP
K02000001,National currency (nominal),Total Budget,2018,740.9900,Millions of GBP
K02000001,Percentage of GDP,Total Budget,2018,0.0341,Percent
K02000001,National currency (nominal),Energy efficiency,2019,194.9406,Millions of GBP
K02000001,National currency (nominal),Fossil fuels,2019,24.5927,Millions of GBP
K02000001,National currency (nominal),Renewables,2019,114.0005,Millions of GBP
K02000001,National currency (nominal),Nuclear,2019,228.9911,Millions of GBP
K02000001,National currency (nominal),Hydrogen and fuel cells,2019,30.3675,Millions of GBP
K02000001,National currency (nominal),Other power and storage technologies,2019,56.5382,Millions of GBP
K02000001,National currency (nominal),Other cross-cutting technologies/research,2019,166.7492,Millions of GBP
K02000001,National currency (nominal),Unallocated,2019,1.5356,Millions of GBP
K02000001,National currency (nominal),Total Budget,2019,817.7154,Millions of GBP
K02000001,Percentage of GDP,Total Budget,2019,0.0363,Percent
K02000001,National currency (nominal),Energy efficiency,2020,246.4079,Millions of GBP
K02000001,National currency (nominal),Fossil fuels,2020,39.8870,Millions of GBP
K02000001,National currency (nominal),Renewables,2020,112.3557,Millions of GBP
K02000001,National currency (nominal),Nuclear,2020,308.8882,Millions of GBP
K02000001,National currency (nominal),Hydrogen and fuel cells,2020,31.4238,Millions of GBP
K02000001,National currency (nominal),Other power and storage technologies,2020,78.3991,Millions of GBP
K02000001,National currency (nominal),Other cross-cutting technologies/research,2020,76.7373,Millions of GBP
K02000001,National currency (nominal),Unallocated,2020,25.5143,Millions of GBP
K02000001,National currency (nominal),Total Budget,2020,919.6133,Millions of GBP
K02000001,Percentage of GDP,Total Budget,2020,0.0428,Percent
K02000001,National currency (nominal),Energy efficiency,2021,265.1315,Millions of GBP
K02000001,National currency (nominal),Fossil fuels,2021,23.1694,Millions of GBP
K02000001,National currency (nominal),Renewables,2021,137.4954,Millions of GBP
K02000001,National currency (nominal),Nuclear,2021,460.0416,Millions of GBP
K02000001,National currency (nominal),Hydrogen and fuel cells,2021,29.6000,Millions of GBP
K02000001,National currency (nominal),Other power and storage technologies,2021,56.5065,Millions of GBP
K02000001,National currency (nominal),Other cross-cutting technologies/research,2021,56.4535,Millions of GBP
K02000001,National currency (nominal),Unallocated,2021,26.9175,Millions of GBP
K02000001,National currency (nominal),Total Budget,2021,1055.3156,Millions of GBP
K02000001,Percentage of GDP,Total Budget,2021,0.0455,Percent
